data,nom,ambit
2024-01-01,"Cap d'Any","Espanya"
2024-01-06,"Reis","Cataluya"
2024-03-29,"Divendres Sant","Espanya"
2024-04-01,"Pasqua Florida","Catalunya"
2024-05-01,"Festa del Treball","Espanya"
2024-06-24,"Sant Joan","Catalunya"
2024-08-15,"L'Assumpció","Espanya"
2024-09-11,"Diada Nacional de Catalunya","Catalunya"
2024-10-12,"Festa Nacional d'Espanya","Espanya"
2024-11-01,"Tots Sants","Espanya"
2024-12-06,"Dia de la Constitució","Espanya"
2024-12-25,"Nadal","Espanya"
2024-12-26,"Sant Esteve","Catalunya"
