id,nom,festa1,festa2
717,Abella de la Conca,,
1065,Abrera,2025-06-09,2025-06-27
638,Adrall,2025-02-03,2025-07-04
665,Adraén,2025-11-07,2025-11-08
171,Age,2025-01-07,2025-06-07
409,Agramunt,2025-09-05,2025-09-08
607,Aguilar,2025-05-05,2025-06-02
1331,Aguilar de Segarra,2025-06-23,2025-11-03
959,Aguiló,2025-01-22,2025-09-27
1,Agullana,2025-04-22,2025-08-18
524,Agulló,2025-04-28,2025-08-23
1096,Aiguafreda,,
861,Aiguamúrcia,2025-08-14,2025-12-15
205,Aiguaviva,2025-07-25,2025-10-29
670,Ainet de Besan,2025-01-07,2025-10-03
709,Ainet de Cardós,2025-03-04,2025-12-27
698,Aineto,2025-08-12,2025-11-11
340,Aitona,2025-05-16,2025-09-02
341,"Alamús, els",2025-01-20,2025-11-07
866,"Alba, l'",2025-08-14,2025-12-15
385,"Albagés, l'",2025-01-20,2025-09-01
2,Albanyà,2025-06-27,2025-11-28
978,Albarca,2025-01-22,2025-08-14
342,Albatàrrec,2025-05-09,2025-10-10
1501,Alberola,2025-06-13,2025-09-08
529,Albesa,2025-03-18,2025-05-12
386,"Albi, l'",2025-08-04,2025-09-26
926,Albinyana,2025-07-16,2025-08-25
892,"Albiol, l'",2025-07-15,2025-09-29
948,Albió,2025-09-05,2025-09-06
87,Albons,2025-03-04,2025-07-25
1034,Alcanar,2025-05-15,2025-10-13
343,Alcanó,2025-02-03,2025-03-19
344,Alcarràs,2025-01-20,2025-08-29
345,Alcoletge,2025-05-09,2025-09-19
867,Alcover,2025-08-16,2025-10-20
998,"Aldea, l'",2025-05-02,2025-06-09
999,Aldover,2025-04-23,2025-09-08
893,"Aleixar, l'",2025-02-03,2025-11-10
1175,Alella,2025-06-09,2025-08-01
5123,Alendo,,
1000,Alfara de Carles,2025-06-09,2025-12-09
346,Alfarràs,2025-01-20,2025-06-30
894,Alforja,2025-01-17,2025-09-26
347,Alfés,2025-01-20,2025-08-06
530,Algerri,2025-02-03,2025-02-04
348,Alguaire,2025-05-23,2025-09-26
669,Alins,2025-01-22,2025-06-23
622,Alinyà,2025-05-12,2025-08-11
868,Alió,2025-01-20,2025-08-22
156,All,2025-08-13,2025-08-14
349,Almacelles,2025-02-28,2025-09-24
922,"Almadrava, l'",2025-07-18,2025-07-19
350,Almatret,2025-02-03,2025-09-29
351,Almenar,2025-01-20,2025-09-22
410,Almenara Alta,2025-08-01,2025-08-02
895,Almoster,2025-07-30,2025-09-29
142,Alp,2025-03-03,2025-06-27
1205,Alpens,2025-03-04,2025-09-29
352,Alpicat,2025-01-18,2025-08-22
792,Alta-riba,2025-04-23,2025-07-07
836,Altafulla,2025-04-22,2025-11-11
5118,Altet,2025-05-14,2025-08-30
608,Altès,2025-06-09,2025-09-09
623,"Alzina d'Alinyà, l'",2025-06-11,2025-08-16
593,"Alzina, l'",2025-08-06,2025-08-16
604,Alàs i Cerc,2025-05-15,2025-07-21
675,Alòs d'Isil,,
531,Alòs de Balaguer,2025-01-20,2025-08-11
275,Amer,2025-04-11,2025-06-09
1001,"Ametlla de Mar, l'",2025-02-03,2025-06-30
1439,"Ametlla de Merola, l'",2025-06-09,2025-09-22
555,"Ametlla de Montsec, l'",2025-07-25,2025-12-09
468,"Ametlla de Segarra, l'",,
1097,"Ametlla del Vallès, l'",2025-03-03,2025-08-25
1002,"Ampolla, l'",2025-06-23,2025-07-16
1036,Amposta,2025-05-19,2025-12-05
5093,Ancs,2025-01-20,2025-08-01
414,Anglesola,2025-05-03,2025-12-11
276,Anglès,2025-06-09,2025-09-08
651,Anserall,2025-09-06,2025-11-29
617,Ansovell,2025-09-08,2025-11-11
710,Anàs,2025-09-06,2025-11-18
728,Aramunt,2025-01-21,2025-09-13
739,Aransís,,
1414,Aranyó,2025-05-16,2025-08-23
671,Araós,2025-01-22,2025-09-05
387,Arbeca,2025-07-25,2025-08-18
896,Arbolí,2025-01-13,2025-10-06
927,"Arboç, l'",2025-01-09,2025-08-25
1267,"Arboçar, l'",2025-04-17,2025-07-28
277,Arbúcies,2025-06-20,2025-07-28
652,Arcavell,2025-08-02,2025-11-29
821,"Arcs, els",2025-01-17,2025-10-06
1504,Ardèvol,2025-01-17,2025-09-01
26,Arenys d'Empordà,2025-06-30,2025-11-29
1176,Arenys de Mar,2025-07-09,2025-08-18
1177,Arenys de Munt,2025-11-10,2025-11-11
639,Arfa,2025-06-09,2025-11-29
175,Argelaguer,2025-05-12,2025-12-15
598,Argentera,,
897,"Argentera, l'",2025-08-21,2025-08-22
1178,Argentona,2025-06-09,2025-08-04
1377,Argençola,2025-05-02,2025-09-12
853,"Argilaga, l'",2025-01-25,2025-08-16
653,Argolell,2025-06-02,2025-10-11
633,Aristot,2025-09-06,2025-11-28
3,"Armentera, l'",2025-07-25,2025-11-10
1048,Arnes,2025-06-09,2025-07-22
768,Arres,2025-01-20,2025-08-29
787,Arròs,2025-08-29,2025-10-08
771,Arró,2025-08-28,2025-11-11
654,Ars,2025-05-10,2025-11-08
605,Arsèguel,2025-03-04,2025-12-31
353,Artesa de Lleida,2025-05-15,2025-09-29
532,Artesa de Segre,2025-01-20,2025-09-26
778,Arties,2025-06-25,2025-07-25
1332,Artés,,
159,Arànser,2025-06-30,2025-10-10
1017,Ascó,2025-01-17,2025-08-22
655,Asnurri,2025-09-06,2025-12-10
354,Aspa,2025-01-21,2025-03-19
788,Aubèrt,2025-10-04,2025-11-11
533,"Avellanes i Santa Linya, les",,
534,"Avellanes, les",2025-04-23,2025-08-16
4,Avinyonet de Puigventós,2025-05-03,2025-06-30
5111,Avinyonet del Penedès,2025-04-17,2025-08-25
1333,Avinyó,2025-06-09,2025-09-22
1268,Avinyó Nou,2025-04-17,2025-08-25
1417,Avià,2025-06-19,2025-09-01
1060,Badalona,2025-05-12,2025-06-09
1151,Badia del Vallès,2025-04-14,2025-06-09
249,"Baell, el",2025-08-22,2025-11-14
779,Bagergue,2025-07-19,2025-08-01
1418,Bagà,2025-03-03,2025-06-09
1500,Baixos de Calbinyà,2025-07-07,2025-07-26
541,Balaguer,2025-06-09,2025-11-10
1206,Balenyà,2025-01-21,2025-08-25
5088,Balestui,2025-01-20,2025-08-01
1334,Balsareny,2025-02-24,2025-04-25
145,Baltarga,2025-06-13,2025-07-25
928,Banyeres del Penedès,2025-02-12,2025-07-14
232,Banyoles,2025-08-16,2025-10-20
785,Baqueira,2025-05-03,2025-08-05
634,Bar,2025-09-08,2025-12-24
818,Barbens,2025-08-18,2025-11-10
941,Barberà de la Conca,2025-04-23,2025-08-25
1152,Barberà del Vallès,2025-06-09,2025-07-07
1061,Barcelona,2025-06-09,2025-09-24
1461,Barceloneta,,
556,"Baronia de Sant Oïsme, la",2025-01-17,2025-04-23
804,Barruera,2025-08-01,2025-09-08
606,Bassella,2025-05-15,2025-08-29
747,Basturs,2025-05-15,2025-09-06
1049,Batea,2025-08-04,2025-08-05
1137,"Batllòria, la",2025-08-25,2025-12-18
769,Bausen,2025-08-14,2025-08-18
686,Baén,2025-01-20,2025-08-01
1300,"Beguda Alta, la",2025-01-20,2025-08-11
5144,"Beguda Baixa, la",2025-01-20,2025-08-11
1066,Begues,2025-01-20,2025-07-25
88,Begur,2025-06-09,2025-09-15
772,Begós,2025-05-03,2025-08-16
415,Belianes,2025-05-15,2025-07-25
819,Bell-lloc d'Urgell,2025-09-26,2025-09-29
388,Bellaguarda,2025-01-17,2025-04-25
1113,Bellavista,2025-05-30,2025-07-04
89,Bellcaire d'Empordà,2025-08-29,2025-11-25
550,Bellcaire d'Urgell,2025-05-19,2025-09-15
543,Bellfort,2025-03-04,2025-08-16
507,Bellmunt,2025-05-09,2025-05-12
551,Bellmunt d'Urgell,2025-05-12,2025-08-25
973,Bellmunt del Priorat,2025-12-04,2025-12-29
1378,Bellprat,,
416,Bellpuig,2025-04-11,2025-09-12
951,Belltall,2025-05-12,2025-10-06
929,Bellvei,2025-08-14,2025-08-18
426,Bellver d'Ossó,,
144,Bellver de Cerdanya,2025-06-13,2025-07-25
511,Bellveí,2025-01-20,2025-07-25
820,Bellvís,2025-01-20,2025-10-27
748,Benavent,2025-07-19,2025-08-16
355,Benavent de Segrià,2025-01-27,2025-08-25
1003,Benifallet,2025-09-08,2025-09-09
1018,Benissanet,2025-01-17,2025-07-25
773,Benós,2025-06-26,2025-06-30
1419,Berga,2025-06-19,2025-09-08
176,Besalú,2025-04-11,2025-09-19
206,Bescanó,2025-07-25,2025-10-29
656,Bescaran,2025-07-12,2025-11-08
318,Besora,,
789,Betlan,2025-08-05,2025-10-08
790,Betren,2025-10-04,2025-11-29
177,Beuda,2025-04-11,2025-09-19
1099,Bigues,2025-01-20,2025-06-30
1098,Bigues i Riells,,
445,Biosca,2025-07-30,2025-07-31
90,"Bisbal d'Empordà, la",2025-06-09,2025-08-16
974,"Bisbal de Falset, la",2025-09-05,2025-09-08
930,"Bisbal del Penedès, la",2025-04-23,2025-08-14
749,Biscarri,2025-09-20,2025-11-29
1510,Biure,2025-05-03,2025-09-02
6,Biure,2025-03-03,2025-04-22
942,Blancafort,2025-04-23,2025-06-09
278,Blanes,2025-04-22,2025-07-26
1303,"Bleda, la",2025-07-04,2025-11-11
599,Boada,2025-04-29,2025-08-18
7,Boadella d'Empordà,2025-11-11,2025-11-22
699,Boldís Jussà,2025-06-30,2025-07-11
700,Boldís Sobirà,2025-01-20,2025-09-29
148,Bolvir,2025-05-15,2025-11-22
931,Bonastre,2025-05-22,2025-07-22
711,Bonestarre,2025-01-22,2025-10-15
146,Bor,2025-06-13,2025-07-25
1503,"Bordeta, era",2025-08-23,2025-09-29
207,Bordils,2025-08-25,2025-10-29
389,"Borges Blanques, les",2025-09-08,2025-09-09
898,"Borges del Camp, les",2025-06-26,2025-09-08
9,Borrassà,2025-05-03,2025-12-01
1420,Borredà,2025-06-09,2025-08-18
676,Borén,,
774,Bossòst,,
1050,Bot,2025-02-03,2025-02-04
899,Botarell,2025-02-03,2025-08-11
390,Bovera,2025-05-19,2025-09-08
805,Boí,2025-02-14,2025-06-23
279,Breda,2025-09-05,2025-09-08
5086,Bresca,2025-01-20,2025-08-01
5084,Bretui,2025-01-20,2025-08-01
486,Briansó,2025-04-28,2025-08-25
242,Briolf,2025-05-22,2025-09-29
1379,"Bruc, el",2025-05-08,2025-08-14
1207,"Brull, el",2025-07-25,2025-10-01
280,Brunyola,2025-01-24,2025-11-14
869,Bràfim,2025-07-25,2025-12-10
763,Buira,2025-05-15,2025-08-01
693,Burg,,
319,Busa,,
5125,Buseu,2025-01-20,2025-08-01
571,Butsènit,2025-03-17,2025-08-14
5,Bàscara,2025-07-25,2025-11-14
1013,Bítem,2025-06-09,2025-09-19
770,"Bòrdes, Es",2025-09-08,2025-10-08
718,Bóixols,,
1311,Ca l'Avi,2025-04-17,2025-10-27
975,Cabacés,2025-02-03,2025-05-15
552,Cabanabona,,
11,Cabanelles,2025-05-03,2025-06-30
12,Cabanes,2025-01-24,2025-05-16
1272,"Cabanyes, les",2025-02-14,2025-08-04
5137,Cabestany,2025-01-20,2025-08-01
5100,Cabestany,,
870,Cabra del Camp,2025-08-22,2025-08-25
1381,Cabrera d'Anoia,2025-01-20,2025-08-11
