data,nom,ambit
2023-01-06,"Reis","Catalunya"
2023-04-07,"Divendres Sant","Espanya"
2023-04-10,"Pasqua Florida","Catalunya"
2023-05-01,"Festa del Treball","Espanya"
2023-06-24,"Sant Joan","Catalunya"
2023-08-15,"L'Assumpció","Espanya"
2023-09-11,"Diada Nacional de Catalunya","Catalunya"
2023-10-12,"Festa Nacional d'Espanya","Espanya"
2023-11-01,"Tots Sants","Espanya"
2023-12-06,"Dia de la Constitució","Espanya"
2023-12-08,"La Immaculada","Espanya"
2023-12-25,"Nadal","Espanya"
2023-12-26,"Sant Esteve","Catalunya"
